                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.92905,                 5.4276,                 1.0139,                  0.011,                      1,                0.49411,                0.41446,                0.72702,                 3.7163,                 0.8609,             0.00037154,             0.00037154,             0.00037154
                      2,                 0.9759,                 4.7555,                 1.0066,                0.66942,                0.65468,                0.71445,                0.52151,                0.89673,                  3.544,                0.89581,             0.00074987,             0.00074987,             0.00074987
                      3,                0.96768,                 4.4625,                 1.0547,                      1,                0.22101,                0.65496,                0.50658,                0.86645,                 3.7397,                0.95724,              0.0011206,              0.0011206,              0.0011206
                      4,                0.95503,                 5.9128,                 1.0623,                      1,                0.22101,                0.65496,                0.50658,                0.86645,                 3.7397,                0.95724,              0.0013866,              0.0013866,              0.0013866
                      5,                 1.1566,                 4.5404,                 1.1041,                 0.4387,                0.55227,                0.64504,                0.45436,                0.93892,                 3.4459,                0.96047,              0.0013866,              0.0013866,              0.0013866
                      6,                 1.0324,                 4.3621,                 1.0297,                0.64912,                0.50453,                0.76929,                 0.5919,                0.87298,                 3.3174,                0.92373,              0.0013724,              0.0013724,              0.0013724
                      7,                 1.0109,                 4.0625,                 1.0661,                0.91915,                0.78768,                0.89063,                0.71434,                0.77857,                 2.6368,                0.93212,              0.0013583,              0.0013583,              0.0013583
                      8,                0.95541,                 4.2279,                 1.0366,                0.88321,                0.67355,                0.78155,                0.60691,                0.77536,                 2.8475,                 0.9054,              0.0013441,              0.0013441,              0.0013441
                      9,                0.96786,                 3.9384,                 1.0243,                 0.7527,                0.67901,                0.77997,                0.59953,                0.83119,                 3.1626,                0.90642,                0.00133,                0.00133,                0.00133
                     10,                0.97603,                 3.7018,                 1.0222,                 0.7527,                0.67901,                0.77997,                0.59953,                0.83119,                 3.1626,                0.90642,              0.0013158,              0.0013158,              0.0013158
                     11,                 1.0085,                 3.4979,                 1.0607,                0.60255,                0.69136,                0.71125,                0.53622,                0.94645,                 3.9349,                 1.0165,              0.0013017,              0.0013017,              0.0013017
                     12,                0.95924,                 4.0112,                 1.0084,                0.76641,                0.80247,                0.78918,                0.57734,                0.90621,                 2.9998,                0.97041,              0.0012875,              0.0012875,              0.0012875
                     13,                 1.0717,                 4.6311,                 1.1262,                0.88299,                0.88684,                0.87444,                0.66288,                0.89156,                 2.7757,                0.94956,              0.0012734,              0.0012734,              0.0012734
                     14,                 1.0601,                 3.9393,                  1.036,                0.90565,                0.89725,                0.93404,                 0.5874,                 1.0396,                 2.6561,                0.97858,              0.0012592,              0.0012592,              0.0012592
                     15,                 1.0821,                 3.4981,                  1.081,                0.96222,                0.91333,                0.96929,                0.72564,                0.84933,                 2.3869,                0.91329,              0.0012451,              0.0012451,              0.0012451
                     16,                0.90058,                 3.6515,                 1.0022,                0.97132,                0.93827,                0.98411,                0.76828,                0.78103,                  2.024,                0.92145,              0.0012309,              0.0012309,              0.0012309
                     17,                0.89707,                 3.2899,                0.98181,                0.97132,                0.93827,                0.98411,                0.76828,                0.78103,                  2.024,                0.92145,              0.0012168,              0.0012168,              0.0012168
                     18,                0.91271,                 3.0646,                 1.0187,                0.90392,                0.89122,                  0.974,                0.74334,                0.82788,                 2.2113,                0.97209,              0.0012026,              0.0012026,              0.0012026
                     19,                0.89539,                 2.8667,                0.98995,                0.96277,                0.92215,                0.98379,                0.78275,                0.75283,                 2.1334,                0.92021,              0.0011885,              0.0011885,              0.0011885
                     20,                0.88496,                  3.155,                0.99786,                0.95898,                0.98158,                0.99204,                0.78619,                0.78874,                  1.987,                0.90311,              0.0011744,              0.0011744,              0.0011744
                     21,                0.83155,                 2.6999,                0.98272,                0.97899,                0.97531,                0.99298,                0.79452,                0.78732,                 1.9006,                0.91288,              0.0011602,              0.0011602,              0.0011602
                     22,                0.84774,                 2.8979,                0.94993,                0.98031,                0.96637,                0.99247,                 0.8028,                0.75329,                 1.8301,                0.89277,              0.0011461,              0.0011461,              0.0011461
                     23,                0.75536,                 2.5796,                 0.9347,                0.98031,                0.96637,                0.99247,                 0.8028,                0.75329,                 1.8301,                0.89277,              0.0011319,              0.0011319,              0.0011319
                     24,                0.83437,                 2.4431,                0.96473,                0.99312,                0.96683,                0.98893,                0.78978,                 0.8052,                   1.82,                0.91319,              0.0011178,              0.0011178,              0.0011178
                     25,                 0.8404,                 2.7688,                0.97269,                0.95284,                0.97531,                0.98573,                0.79134,                0.80418,                 1.8482,                0.92004,              0.0011036,              0.0011036,              0.0011036
                     26,                0.78745,                  2.675,                0.96319,                0.96759,                0.98116,                0.97964,                0.78912,                0.77195,                 1.9655,                0.92038,              0.0010895,              0.0010895,              0.0010895
                     27,                0.81185,                 2.4165,                0.96996,                0.98402,                0.97972,                0.98185,                 0.8038,                0.76064,                 1.8642,                0.93135,              0.0010753,              0.0010753,              0.0010753
                     28,                0.81983,                 2.6015,                0.96097,                0.98336,                0.98552,                0.98506,                 0.8062,                0.76648,                 1.7262,                0.93119,              0.0010612,              0.0010612,              0.0010612
                     29,                0.72202,                 2.4015,                0.93467,                0.99004,                0.98765,                 0.9923,                0.79441,                0.77341,                 1.7337,                0.92057,               0.001047,               0.001047,               0.001047
                     30,                0.76746,                 2.1647,                0.93216,                0.99004,                0.98765,                 0.9923,                0.79441,                0.77341,                 1.7337,                0.92057,              0.0010329,              0.0010329,              0.0010329
                     31,                0.77109,                 2.2411,                0.94137,                0.99306,                0.98765,                0.99294,                0.80086,                0.78105,                 1.7645,                0.93145,              0.0010187,              0.0010187,              0.0010187
                     32,                0.76223,                 2.1463,                0.94758,                0.99121,                0.99865,                  0.995,                0.81808,                0.74433,                 1.7442,                0.92687,              0.0010046,              0.0010046,              0.0010046
                     33,                0.79387,                 2.2853,                0.96891,                0.98944,                0.99409,                  0.995,                0.81563,                0.75224,                 1.7206,                0.94349,             0.00099044,             0.00099044,             0.00099044
                     34,                0.74041,                 2.1604,                0.92949,                0.99076,                0.99195,                  0.995,                0.80751,                0.75757,                  1.721,                0.92202,             0.00097629,             0.00097629,             0.00097629
                     35,                0.75087,                 2.0933,                0.94166,                0.99422,                0.98765,                0.98974,                0.81517,                 0.7489,                 1.6411,                0.91414,             0.00096215,             0.00096215,             0.00096215
                     36,                0.71577,                 2.1367,                0.94137,                0.99422,                0.98765,                0.98974,                0.81517,                 0.7489,                 1.6411,                0.91414,               0.000948,               0.000948,               0.000948
                     37,                0.70115,                 1.8668,                0.90698,                0.99212,                0.98765,                0.98598,                0.80173,                0.74223,                 1.6242,                0.92423,             0.00093385,             0.00093385,             0.00093385
                     38,                0.75092,                 2.6751,                 0.9468,                0.99424,                0.98765,                0.99271,                 0.8126,                0.73879,                 1.6345,                0.92007,              0.0009197,              0.0009197,              0.0009197
