                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.84787,                 4.1131,                0.96939,                0.96144,                0.96446,                0.98022,                0.75332,                0.81755,                 1.9265,                0.89892,             0.00047356,             0.00047356,             0.00047356
                      2,                0.77175,                 2.6527,                0.91806,                0.99374,                0.97987,                 0.9936,                0.78633,                0.75679,                 1.7283,                0.88482,             0.00094049,             0.00094049,             0.00094049
                      3,                0.83495,                 2.6414,                0.95896,                0.96154,                0.97686,                0.99185,                0.78476,                0.76085,                 1.8227,                0.90349,               0.001398,               0.001398,               0.001398
                      4,                 0.7836,                 2.3752,                0.91985,                0.99062,                0.98059,                0.99281,                0.79059,                0.73329,                 1.4664,                0.88984,              0.0013866,              0.0013866,              0.0013866
                      5,                0.77616,                 1.9791,                0.92012,                0.99436,                0.98598,                0.99416,                0.80142,                0.72718,                 1.3141,                0.87922,              0.0013866,              0.0013866,              0.0013866
                      6,                0.81792,                 1.8582,                0.93909,                0.99262,                0.98831,                0.99303,                0.78099,                0.77629,                 1.1845,                0.90466,              0.0013724,              0.0013724,              0.0013724
                      7,                0.76756,                 1.5986,                0.92629,                0.99296,                 0.9893,                0.99486,                0.79783,                 0.7691,                 1.0025,                0.90258,              0.0013583,              0.0013583,              0.0013583
                      8,                0.75916,                 1.3972,                0.92501,                0.99764,                 0.9896,                0.99493,                0.81137,                 0.6908,                0.77563,                0.88438,              0.0013441,              0.0013441,              0.0013441
                      9,                 0.7115,                 1.2135,                0.90323,                0.98976,                0.98918,                 0.9942,                0.81607,                0.68367,                 0.6838,                0.87525,                0.00133,                0.00133,                0.00133
                     10,                 0.6912,                 1.0586,                0.89795,                0.99763,                0.99114,                0.99292,                0.81039,                 0.6949,                0.61566,                0.88013,              0.0013158,              0.0013158,              0.0013158
                     11,                0.72341,                0.97911,                0.90764,                0.99502,                0.99459,                  0.995,                0.80568,                0.69178,                0.64603,                0.88603,              0.0013017,              0.0013017,              0.0013017
                     12,                0.68825,                0.92335,                0.88949,                0.99244,                0.99264,                0.99498,                 0.8174,                0.66896,                0.59248,                0.86862,              0.0012875,              0.0012875,              0.0012875
                     13,                0.68426,                0.82562,                0.89551,                0.99428,                0.99614,                  0.995,                0.81634,                0.68634,                 0.5632,                0.87957,              0.0012734,              0.0012734,              0.0012734
                     14,                 0.7093,                0.82551,                0.90851,                0.99948,                0.99005,                0.99495,                0.82796,                0.66844,                0.57055,                0.87177,              0.0012592,              0.0012592,              0.0012592
                     15,                0.66952,                0.73495,                0.88755,                0.99704,                0.99158,                0.99491,                0.83467,                0.66433,                0.49585,                 0.8714,              0.0012451,              0.0012451,              0.0012451
                     16,                0.69057,                  0.728,                0.90439,                0.99977,                0.99931,                  0.995,                0.82467,                0.68272,                0.49598,                0.87945,              0.0012309,              0.0012309,              0.0012309
                     17,                0.67087,                 0.6803,                0.89693,                0.99417,                0.99097,                  0.995,                0.83483,                0.64493,                0.45119,                 0.8726,              0.0012168,              0.0012168,              0.0012168
                     18,                 0.6669,                0.65634,                0.89843,                0.99899,                0.99621,                  0.995,                0.82713,                0.65987,                0.43768,                0.87124,              0.0012026,              0.0012026,              0.0012026
                     19,                0.66964,                0.63257,                0.89055,                0.99192,                0.99409,                0.99484,                0.82643,                0.66693,                0.43359,                0.88161,              0.0011885,              0.0011885,              0.0011885
                     20,                0.65207,                0.60468,                0.88583,                0.99464,                0.99687,                0.99498,                0.83392,                0.65718,                0.42072,                0.88533,              0.0011744,              0.0011744,              0.0011744
                     21,                0.64013,                0.57383,                0.90429,                0.99784,                 0.9934,                  0.995,                 0.8359,                 0.6605,                0.41052,                 0.8736,              0.0011602,              0.0011602,              0.0011602
                     22,                0.64221,                0.55834,                 0.8846,                0.99884,                0.99505,                  0.995,                 0.8335,                0.66458,                0.39639,                0.87763,              0.0011461,              0.0011461,              0.0011461
                     23,                0.64163,                0.54101,                0.88951,                 0.9899,                0.99767,                0.99439,                0.82835,                0.66007,                0.39967,                0.87999,              0.0011319,              0.0011319,              0.0011319
                     24,                0.61479,                 0.5022,                0.87997,                0.99674,                0.99564,                0.99488,                0.83436,                0.65069,                  0.397,                0.86655,              0.0011178,              0.0011178,              0.0011178
                     25,                0.62565,                0.49978,                0.87202,                0.99519,                0.99532,                0.99472,                0.83655,                0.64671,                0.37914,                0.86712,              0.0011036,              0.0011036,              0.0011036
                     26,                0.61003,                0.48373,                0.87426,                0.99898,                0.99676,                  0.995,                0.84674,                 0.6444,                0.37353,                0.88155,              0.0010895,              0.0010895,              0.0010895
                     27,                0.63228,                0.49666,                0.88982,                0.99565,                0.99189,                0.99495,                0.83109,                0.67639,                0.39496,                0.89231,              0.0010753,              0.0010753,              0.0010753
                     28,                0.62581,                 0.4743,                0.88166,                0.99714,                0.99612,                  0.995,                0.83778,                0.67706,                0.38706,                0.88626,              0.0010612,              0.0010612,              0.0010612
                     29,                 0.6327,                0.48375,                0.87925,                0.99858,                0.99146,                  0.995,                0.84406,                0.63297,                0.37031,                0.87311,               0.001047,               0.001047,               0.001047
                     30,                0.62123,                0.45223,                0.88135,                0.99458,                0.99762,                  0.995,                0.84151,                 0.6427,                0.36714,                0.88046,              0.0010329,              0.0010329,              0.0010329
                     31,                0.62429,                0.44345,                0.88917,                0.99442,                0.99525,                0.99495,                0.84087,                0.63828,                0.36514,                0.87186,              0.0010187,              0.0010187,              0.0010187
                     32,                0.61181,                0.44729,                0.87543,                 0.9944,                0.99619,                0.99467,                0.84128,                0.65345,                0.37857,                0.87469,              0.0010046,              0.0010046,              0.0010046
                     33,                0.59888,                0.43304,                0.86827,                0.99429,                0.99731,                0.99463,                0.85118,                0.64068,                0.36837,                 0.8826,             0.00099044,             0.00099044,             0.00099044
                     34,                0.60279,                0.43696,                0.87658,                0.99776,                0.99611,                  0.995,                0.84607,                0.62296,                0.34625,                0.86306,             0.00097629,             0.00097629,             0.00097629
                     35,                0.60511,                0.41442,                0.87804,                 0.9978,                0.99962,                  0.995,                 0.8466,                0.63046,                 0.3442,                0.87634,             0.00096215,             0.00096215,             0.00096215
                     36,                 0.5908,                0.40882,                0.86812,                0.99691,                0.99885,                  0.995,                0.85117,                0.63538,                0.35164,                0.87702,               0.000948,               0.000948,               0.000948
                     37,                0.59166,                 0.4012,                0.87166,                0.99719,                0.99699,                0.99479,                0.84408,                 0.6463,                0.34355,                0.87797,             0.00093385,             0.00093385,             0.00093385
                     38,                0.60632,                0.41166,                0.87571,                0.99294,                0.99496,                 0.9946,                0.84032,                0.65061,                0.35499,                0.87783,              0.0009197,              0.0009197,              0.0009197
                     39,                0.60547,                 0.4064,                0.87289,                0.99151,                0.99908,                0.99495,                0.84838,                 0.6502,                0.36779,                0.88165,             0.00090556,             0.00090556,             0.00090556
                     40,                0.59454,                 0.3977,                0.87588,                0.99619,                0.99209,                0.99495,                 0.8435,                0.64524,                 0.3443,                0.87548,             0.00089141,             0.00089141,             0.00089141
                     41,                 0.5709,                0.37904,                0.86522,                0.99886,                0.99992,                  0.995,                0.85023,                0.63913,                0.34144,                0.87642,             0.00087726,             0.00087726,             0.00087726
                     42,                 0.5994,                0.38948,                0.88285,                0.99726,                0.99566,                0.99498,                0.83698,                0.68048,                0.35137,                0.90254,             0.00086312,             0.00086312,             0.00086312
                     43,                0.59165,                0.38906,                0.87487,                0.99724,                0.99765,                  0.995,                0.84564,                0.64298,                0.33833,                0.88332,             0.00084897,             0.00084897,             0.00084897
                     44,                0.56942,                0.37734,                0.87184,                0.99439,                0.99715,                0.99498,                0.85414,                0.62401,                0.32709,                0.87648,             0.00083482,             0.00083482,             0.00083482
                     45,                0.56696,                0.37262,                 0.8644,                0.99789,                0.99767,                  0.995,                0.84269,                0.63205,                0.32785,                0.87498,             0.00082067,             0.00082067,             0.00082067
                     46,                0.57495,                0.37331,                0.86564,                0.99625,                0.99631,                0.99495,                 0.8498,                0.61794,                0.33034,                0.87748,             0.00080653,             0.00080653,             0.00080653
                     47,                0.57298,                0.36233,                  0.864,                0.99548,                0.99662,                0.99498,                0.85298,                0.63341,                0.32737,                0.87771,             0.00079238,             0.00079238,             0.00079238
                     48,                0.55664,                0.35868,                0.87094,                0.99263,                  0.998,                  0.995,                0.85383,                0.63354,                0.33354,                0.87867,             0.00077823,             0.00077823,             0.00077823
                     49,                  0.559,                0.35837,                0.86628,                0.99192,                  0.999,                0.99491,                0.85491,                0.63472,                0.32253,                0.87344,             0.00076409,             0.00076409,             0.00076409
                     50,                0.57319,                0.35847,                0.86492,                0.99465,                0.99403,                0.99493,                0.84898,                0.63256,                0.32202,                0.86991,             0.00074994,             0.00074994,             0.00074994
                     51,                0.56361,                0.35716,                0.86266,                0.99932,                0.99988,                  0.995,                0.84717,                  0.625,                0.32468,                0.86527,             0.00073579,             0.00073579,             0.00073579
                     52,                  0.569,                0.35177,                0.86878,                0.99507,                0.99768,                0.99491,                0.85744,                0.62515,                0.32048,                0.86785,             0.00072164,             0.00072164,             0.00072164
                     53,                  0.554,                0.34107,                0.85728,                0.99841,                0.99935,                  0.995,                 0.8526,                0.64247,                 0.3203,                0.87831,              0.0007075,              0.0007075,              0.0007075
